npe ,dialog ,crash ,alert ,ad ,DV
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,10.75007886,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,10.75007886,5.375039431,C
0,0,0,0,5.375039431,C
0,0,0,0,5.375039431,C
0,0,0,0,5.375039431,C
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,A
7.349199426,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,7.831215625,0,0,B
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
7.349199426,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,8.106222673,0,0,0,B
0,0,0,0,0,C
0,8.106222673,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,B
0,8.106222673,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,C
0,0,7.831215625,0,0,A
7.349199426,0,0,0,0,B
0,0,7.831215625,0,0,A
0,0,3.915607813,0,0,B
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,B
0,8.106222673,3.915607813,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,3.915607813,0,0,B
0,0,3.915607813,0,0,A
0,0,0,0,0,B
0,0,0,0,0,C
0,0,3.915607813,0,0,A
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,A
3.674599713,0,0,0,0,A
3.674599713,0,0,0,0,A
3.674599713,0,0,0,0,B
0,0,0,0,0,B
3.674599713,0,0,0,0,B
0,0,0,0,0,A
0,4.053111336,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,A
0,0,3.915607813,0,0,A
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
3.674599713,0,0,0,0,B
3.674599713,0,0,0,0,B
7.349199426,0,0,0,0,A
0,4.053111336,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,B
0,0,11.74682344,0,0,B
0,0,0,0,0,C
7.349199426,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,A
3.674599713,0,0,0,0,A
3.674599713,0,0,0,0,B
0,4.053111336,0,0,0,C
0,0,3.915607813,0,0,B
0,0,0,0,0,C
0,4.053111336,0,0,0,B
0,0,0,0,0,B
0,4.053111336,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,B
0,4.053111336,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,5.375039431,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
0,0,0,0,0,C
0,0,0,10.75007886,0,C
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,B
0,0,0,0,0,B
0,0,0,0,0,A
0,0,0,0,0,A
